DEBUG 2026-04-03 11:16:27.643 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-7] - Token valid for user: developer
DEBUG 2026-04-03 11:16:27.741 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-4] - Token valid for user: developer
DEBUG 2026-04-03 11:16:36.605 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-1] - Token valid for user: developer
DEBUG 2026-04-03 11:16:37.795 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-5] - Token valid for user: developer
DEBUG 2026-04-03 11:16:38.283 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-6] - Token valid for user: developer
DEBUG 2026-04-03 11:16:38.297 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-8] - Token valid for user: developer
DEBUG 2026-04-03 11:16:38.311 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-2] - Token valid for user: developer
DEBUG 2026-04-03 11:16:38.319 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-1] - Token valid for user: developer
DEBUG 2026-04-03 11:16:38.489 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-7] - Token valid for user: developer
DEBUG 2026-04-03 11:16:38.573 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-6] - Token valid for user: developer
DEBUG 2026-04-03 11:16:38.583 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-3] - Token valid for user: developer
DEBUG 2026-04-03 11:16:38.584 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-1] - Token valid for user: developer
DEBUG 2026-04-03 11:16:38.827 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-5] - Token valid for user: developer
DEBUG 2026-04-03 11:16:38.849 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-7] - Token valid for user: developer
DEBUG 2026-04-03 11:16:38.856 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-9] - Token valid for user: developer
DEBUG 2026-04-03 11:16:38.867 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-4] - Token valid for user: developer
DEBUG 2026-04-03 11:16:38.919 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-1] - Token valid for user: developer
INFO  2026-04-03 11:37:41.883 i.m.g.s.JwtLoginFilter [http-nio-8081-exec-2] - Successfully authenticated user: developer
DEBUG 2026-04-03 11:37:41.910 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-9] - Token valid for user: developer
DEBUG 2026-04-03 11:38:10.565 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-7] - Token valid for user: developer
DEBUG 2026-04-03 11:38:14.578 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-5] - Token valid for user: developer
DEBUG 2026-04-03 11:39:08.906 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-6] - Token valid for user: developer
DEBUG 2026-04-03 11:39:14.027 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-8] - Token valid for user: developer
DEBUG 2026-04-03 11:39:17.585 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-2] - Token valid for user: developer
INFO  2026-04-03 11:48:28.707 i.m.g.s.JwtLogoutFilter [http-nio-8081-exec-7] - Logged out user: developer
INFO  2026-04-03 11:48:42.816 i.m.g.s.JwtLoginFilter [http-nio-8081-exec-1] - Successfully authenticated user: developer
DEBUG 2026-04-03 11:48:42.870 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-6] - Token valid for user: developer
DEBUG 2026-04-03 11:48:42.897 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-3] - Token valid for user: developer
DEBUG 2026-04-03 11:48:42.908 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-2] - Token valid for user: developer
DEBUG 2026-04-03 11:48:42.919 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-8] - Token valid for user: developer
DEBUG 2026-04-03 11:48:43.225 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-5] - Token valid for user: developer
DEBUG 2026-04-03 11:48:43.267 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-6] - Token valid for user: developer
DEBUG 2026-04-03 11:48:43.285 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-2] - Token valid for user: developer
DEBUG 2026-04-03 11:48:43.292 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-10] - Token valid for user: developer
DEBUG 2026-04-03 11:48:43.492 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-9] - Token valid for user: developer
DEBUG 2026-04-03 11:48:43.553 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-7] - Token valid for user: developer
DEBUG 2026-04-03 11:48:43.582 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-5] - Token valid for user: developer
DEBUG 2026-04-03 11:48:43.587 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-1] - Token valid for user: developer
DEBUG 2026-04-03 11:48:43.603 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-10] - Token valid for user: developer
INFO  2026-04-03 11:49:38.675 i.m.g.s.JwtLogoutFilter [http-nio-8081-exec-9] - Logged out user: developer
INFO  2026-04-03 11:49:52.950 i.m.g.s.JwtLoginFilter [http-nio-8081-exec-4] - Successfully authenticated user: developer
DEBUG 2026-04-03 11:49:53.099 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-7] - Token valid for user: developer
DEBUG 2026-04-03 11:49:53.104 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-9] - Token valid for user: developer
DEBUG 2026-04-03 11:49:53.113 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-8] - Token valid for user: developer
DEBUG 2026-04-03 11:49:53.114 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-1] - Token valid for user: developer
DEBUG 2026-04-03 11:49:53.298 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-3] - Token valid for user: developer
DEBUG 2026-04-03 11:49:53.337 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-2] - Token valid for user: developer
DEBUG 2026-04-03 11:49:53.351 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-9] - Token valid for user: developer
DEBUG 2026-04-03 11:49:53.368 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-1] - Token valid for user: developer
DEBUG 2026-04-03 11:49:53.621 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-5] - Token valid for user: developer
DEBUG 2026-04-03 11:49:53.635 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-10] - Token valid for user: developer
DEBUG 2026-04-03 11:49:53.642 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-6] - Token valid for user: developer
DEBUG 2026-04-03 11:49:53.673 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-7] - Token valid for user: developer
DEBUG 2026-04-03 11:49:53.678 i.m.g.s.JwtTokenFilter [http-nio-8081-exec-4] - Token valid for user: developer
